species	region	treatment	weeks	celltype	subtype	residual	l95	u95	total_cells
mouse	cortex	ASO 6	12	other	fibroblast	0.6916478138734099	0.5085380429955053	0.9406900919703568	461
mouse	cortex	ASO 6	12	neuron	inhibitory	0.5703964045096395	0.4851656942039886	0.6705998840485404	4970
mouse	cortex	ASO 6	12	glia	microglia	0.7508564305157458	0.5665257000171684	0.9951629365265542	1118
mouse	cortex	ASO 6	12	glia	oligodendrocyte	0.3633735968912787	0.29616157298108253	0.4458389708989682	2677
mouse	cortex	ASO 6	12	glia	OPC	0.7082431775387883	0.5588160208658075	0.8976270897764658	729
mouse	cortex	ASO 6	12	other	pericyte	0.594313536927724	0.35763408045900164	0.9876256192424936	349
mouse	thalamus	ASO 6	3	glia	astrocyte	0.425827019204572	0.29282153384722626	0.6192462962073529	6985
mouse	thalamus	ASO 6	3	other	endothelial stalk	0.6335853330679424	0.4170206440165409	0.9626151127973728	759
mouse	thalamus	ASO 6	3	other	ependymal	0.45507611055616715	0.2530781723152349	0.8183015726104249	297
mouse	thalamus	ASO 6	3	neuron	excitatory	0.5134663243167904	0.3539907855654985	0.7447868050752212	30769
mouse	thalamus	ASO 6	3	neuron	inhibitory	0.548283300826983	0.3738419906363816	0.8041220234623815	3466
mouse	thalamus	ASO 6	3	glia	microglia	0.3424013214605045	0.19608066266493873	0.5979103872075153	936
mouse	thalamus	ASO 6	3	glia	oligodendrocyte	0.3805738565315665	0.2612642068188661	0.5543677874548049	9613
mouse	thalamus	ASO 6	3	glia	OPC	0.35756828230435744	0.23464785385048528	0.5448806558936455	1470
mouse	thalamus	ASO 6	3	other	pericyte	0.654596288809745	0.3658723424893084	1.1711634129218516	487
